test_id,robot_count,mission_size,inventory_id,scenario,mode,completion_time,average_idle_time
test_2_10_t_surveillance_i2_bl2,2,10,2,surveillance,bl2,480.0108551979065,227.15193450450897
test_5_2_t_cleaning_i1_bl0,5,2,1,cleaning,bl0,91.50205683708191,73.49459400177003
test_5_10_t_surveillance_i0_bl1,5,10,0,surveillance,bl1,466.5012240409851,370.71086559295657
test_2_20_t_surveillance_i1_bl1,2,20,1,surveillance,bl1,756.0107386112213,380.2480318546295
test_10_20_t_agriculture_i0_bl2,10,20,0,agriculture,bl2,897.0407338142395,803.1299830675125
test_10_10_t_surveillance_i0_bl0,10,10,0,surveillance,bl0,445.5013659000397,400.8749386072159
test_2_10_t_cleaning_i1_bl2,2,10,1,cleaning,bl2,511.5022656917572,248.17773699760437
test_5_20_t_agriculture_i2_bl0,5,20,2,agriculture,bl0,927.0223042964935,733.2324020862579
test_2_2_t_surveillance_i1_multi3,2,2,1,surveillance,multi3,82.50205826759338,29.248562574386597
test_5_20_t_logistics_i1_bl1,5,20,1,logistics,bl1,1053.0219323635101,832.8083113670349
test_5_2_t_logistics_i2_multi3,5,2,2,logistics,multi3,114.02230620384216,84.60679354667664
test_5_2_t_agriculture_i0_bl1,5,2,0,agriculture,bl1,97.5020604133606,77.38238172531128
test_10_10_t_surveillance_i2_multi3,10,10,2,surveillance,multi3,223.5021414756775,171.53743195533752
test_2_20_t_logistics_i0_bl2,2,20,0,logistics,bl2,1026.0104281902313,509.23094487190247
test_2_10_t_cleaning_i0_bl0,2,10,0,cleaning,bl0,450.01056575775146,224.99406015872955
test_10_20_t_surveillance_i1_bl0,10,20,1,surveillance,bl0,879.039960861206,784.4936056137085
test_2_20_t_cleaning_i0_bl1,2,20,0,cleaning,bl1,960.010596036911,473.1078463792801
test_10_10_t_agriculture_i0_bl2,10,10,0,agriculture,bl2,462.01687121391296,414.67497124671934
test_2_10_t_logistics_i2_bl0,2,10,2,logistics,bl0,522.0105459690094,256.3582319021225
test_10_10_t_surveillance_i0_multi3,10,10,0,surveillance,multi3,232.50210213661194,180.83906347751616
test_2_2_t_surveillance_i0_multi3,2,2,0,surveillance,multi3,91.50212693214417,35.98422598838806
test_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,489.04039239883423,439.3219175100327
test_2_10_t_surveillance_i0_bl2,2,10,0,surveillance,bl2,441.01036643981934,211.3910882472992
test_5_20_t_agriculture_i2_bl2,5,20,2,agriculture,bl2,924.0227706432343,726.6281933784485
test_5_20_t_agriculture_i2_bl1,5,20,2,agriculture,bl1,925.5021772384644,733.5240348815918
test_10_2_t_cleaning_i1_bl0,10,2,1,cleaning,bl0,112.5019600391388,101.39642198085785
test_2_2_t_cleaning_i1_bl1,2,2,1,cleaning,bl1,112.50203132629395,59.248332142829895
test_10_20_t_cleaning_i0_bl1,10,20,0,cleaning,bl1,976.502105474472,876.1607457637787
test_10_20_t_logistics_i0_bl2,10,20,0,logistics,bl2,1045.5022106170654,936.5658260583878
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,404.2196031570435
test_5_20_t_surveillance_i1_bl0,5,20,1,surveillance,bl0,912.0224032402039,724.3344165802002
test_2_10_t_agriculture_i1_bl2,2,10,1,agriculture,bl2,451.5021369457245,221.90063571929932
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,94.44576828479767
test_5_20_t_agriculture_i0_bl2,5,20,0,agriculture,bl2,898.5021018981934,708.0038072109222
test_2_10_t_surveillance_i1_bl0,2,10,1,surveillance,bl0,474.0104923248291,235.4764425754547
test_5_20_t_surveillance_i0_bl2,5,20,0,surveillance,bl2,891.0224957466125,702.2575037479401
test_2_2_t_logistics_i0_bl2,2,2,0,logistics,bl2,135.01163530349731,66.73270118236542
test_2_20_t_logistics_i0_multi3,2,20,0,logistics,multi3,945.0108923912048,310.5116933584213
test_10_10_t_agriculture_i0_bl1,10,10,0,agriculture,bl1,462.0411398410797,414.6972977399826
test_5_20_t_surveillance_i2_bl0,5,20,2,surveillance,bl0,870.022302865982,692.8822270393372
test_5_10_t_logistics_i1_bl2,5,10,1,logistics,bl2,616.5020551681519,491.85311522483823
test_2_20_t_logistics_i2_bl1,2,20,2,logistics,bl1,987.0109314918518,491.0979346036911
test_5_2_t_logistics_i2_bl0,5,2,2,logistics,bl0,133.50199055671692,106.18124127388
test_2_20_t_surveillance_i1_bl0,2,20,1,surveillance,bl0,762.0108659267426,379.4768809080124
test_2_20_t_surveillance_i2_bl1,2,20,2,surveillance,bl1,780.010644197464,391.4857476949692
test_10_20_t_logistics_i2_bl1,10,20,2,logistics,bl1,1069.5022649765015,957.8484835624695
test_2_2_t_logistics_i1_multi3,2,2,1,logistics,multi3,103.50204372406006,40.493831515312195
test_10_10_t_logistics_i1_bl0,10,10,1,logistics,bl0,613.5021371841431,550.360632109642
test_5_2_t_logistics_i2_bl2,5,2,2,logistics,bl2,135.02260375022888,107.09680314064026
test_2_2_t_cleaning_i1_bl0,2,2,1,cleaning,bl0,111.01065492630005,54.001617670059204
test_5_10_t_agriculture_i2_bl1,5,10,2,agriculture,bl1,433.50212025642395,344.02232947349546
test_5_10_t_logistics_i0_multi3,5,10,0,logistics,multi3,376.50202655792236,237.84676842689515
test_10_10_t_surveillance_i2_bl1,10,10,2,surveillance,bl1,439.5021185874939,393.3243074417114
test_10_2_t_surveillance_i1_multi3,10,2,1,surveillance,multi3,78.04060125350952,65.13075525760651
test_10_2_t_surveillance_i0_bl0,10,2,0,surveillance,bl0,123.04048490524292,110.87138714790345
test_2_2_t_agriculture_i1_bl0,2,2,1,agriculture,bl0,118.50210690498352,56.986804366111755
test_10_10_t_agriculture_i0_bl0,10,10,0,agriculture,bl0,460.50209951400757,412.8600154876709
test_10_2_t_logistics_i0_bl1,10,2,0,logistics,bl1,100.5020592212677,90.13577191829681
test_10_20_t_logistics_i2_bl2,10,20,2,logistics,bl2,1065.0404636859894,953.9889922618866
